"Height","n","P1_mean","P1_sd","P1_CV","P2_mean","P2_sd","P2_CV","Bar"
5,11,0.09153327,0.000153628726089882,0.00167839219651917,0.0920740018181818,0.00013317297126806,0.00144636888413992,0.005
10,13,0.161458076923077,0.000120298546360333,0.000745076051027453,0.161605669230769,0.000151141944236845,0.000935251498021507,0.01
15,14,0.231793792857143,0.000210319158439247,0.000907354575145459,0.231849864285714,0.000130669757593146,0.000563596437702108,0.015
20,12,0.3020174,0.000128243419111688,0.00042462261813951,0.302017575,0.000156547060162288,0.000518337584037248,0.02
25,13,0.373051961538462,9.7006069728152e-05,0.000260033667503316,0.373021084615385,8.66762447863088e-05,0.000232362856581362,0.025
30,13,0.442850246153846,0.000120943055577028,0.000273101475334875,0.442873123076923,9.49765159907661e-05,0.000214455362138265,0.03
35,12,0.513397025,0.00016676288078914,0.000324822452543701,0.513473575,0.000120118260855325,0.000233932702097329,0.035
40,16,0.58351240625,0.000168396209255627,0.000288590623698717,0.583577325,0.000156933520957108,0.000268916413017088,0.04
45,19,0.654001852631579,0.000220506420587843,0.000337164825604954,0.654153310526316,0.000142996639023208,0.00021859805143867,0.045
50,18,0.725169455555556,0.000172999936151727,0.000238564841398609,0.725129377777778,0.000130080321591537,0.000179389120863065,0.05
